inputName,outputName
Ambrosia acanthicarpa,Ambrosia acanthicarpa
Ambrosia artemisiifolia,Ambrosia artemisiifolia
Ambrosia artemisiifolia var. elatior,Ambrosia artemisiifolia
Ambrosia confertiflora,Ambrosia confertiflora
Ambrosia grayi,Ambrosia grayi
Ambrosia linearis,Ambrosia linearis
Ambrosia psilostachya,Ambrosia psilostachya
Ambrosia psilostachya var. coronopifolia,Ambrosia psilostachya
Ambrosia tomentosa,Ambrosia tomentosa
Ambrosia trifida,Ambrosia trifida var. trifida
Ambrosia trifida var. trifida,Ambrosia trifida var. trifida
Amelanchier alnifolia,Amelanchier alnifolia
Amelanchier alnifolia var. alnifolia,Amelanchier alnifolia var. alnifolia
Amelanchier alnifolia var. pumila,Amelanchier alnifolia var. pumila
Amelanchier alnifolia var. utahensis,Amelanchier alnifolia var. utahensis
Amelanchier utahensis,Amelanchier alnifolia var. utahensis
Amerosedum lanceolatum,Sedum lanceolatum
Ammannia robusta,Ammannia robusta
Amorpha canescens,Amorpha canescens
Amorpha fruticosa,Amorpha fruticosa
Amorpha nana,Amorpha nana
Amphiscirpus nevadensis,Amphiscirpus nevadensis
Amsinckia lycopsoides,Amsinckia lycopsoides
Amsinckia menziesii,Amsinckia menziesii var. menziesii
Amsinckia menziesii var. menziesii,Amsinckia menziesii var. menziesii
Amsonia jonesii,Amsonia jonesii
Anagallis arvensis,Lysimachia arvensis
Anagallis minima,Lysimachia minima
Anaphalis margaritacea,Anaphalis margaritacea
Anchusa azurea,Anchusa azurea
Anchusa officinalis,Anchusa officinalis
Andropogon gerardii,Andropogon gerardii
Andropogon hallii,Andropogon hallii
Androsace chamaejasme ssp. carinata,Androsace lehmanniana
Androsace filiformis,Androsace filiformis
Androsace occidentalis,Androsace occidentalis
Androsace septentrionalis,Androsace septentrionalis
Androstephium breviflorum,Androstephium breviflorum
Anemonastrum narcissiflorum ssp. zephyrum,Anemonastrum zephyrum
Anemone canadensis,Anemonastrum canadense
Anemone cylindrica,Anemone cylindrica
Anemone multifida,Anemone multifida
Anemone narcissiflora var. zephyra,Anemonastrum zephyrum
Anemone parviflora,Anemone parviflora
Anemone patens var. multifida,Pulsatilla nuttalliana
Anemonidium canadense,Anemonastrum canadense
Anemopsis californica,Anemopsis californica
Angelica ampla,Angelica ampla
Angelica grayi,Angelica grayi
Angelica pinnata,Angelica pinnata
Anisantha diandra,Bromus diandrus
Anisantha rubens,Bromus rubens
Anisantha sterilis,Bromus sterilis
Anisantha tectorum,Bromus tectorum
Anoda cristata,Anoda cristata
Anotites menziesii,Silene menziesii
Antennaria anaphaloides,Antennaria anaphaloides
Antennaria corymbosa,Antennaria corymbosa
Antennaria dimorpha,Antennaria dimorpha
Antennaria howellii,Antennaria neglecta
Antennaria luzuloides,Antennaria luzuloides ssp. luzuloides
Antennaria luzuloides ssp. luzuloides,Antennaria luzuloides ssp. luzuloides
Antennaria marginata,Antennaria marginata
Antennaria media,Antennaria media
Antennaria microphylla,Antennaria microphylla
Antennaria neglecta,Antennaria neglecta
Antennaria parvifolia,Antennaria parvifolia
Antennaria pulcherrima,Antennaria pulcherrima
Antennaria pulcherrima ssp. anaphaloides,Antennaria anaphaloides
Antennaria rosea,Antennaria rosea
Antennaria rosulata,Antennaria rosulata
Antennaria umbrinella,Antennaria umbrinella
Anthemis arvensis,Anthemis arvensis
Anthemis cotula,Anthemis cotula
Anthemis tinctoria,Anthemis tinctoria
Anthoxanthum hirtum,Anthoxanthum nitens 
Anthoxanthum odoratum,Anthoxanthum odoratum
Anticlea elegans,Anticlea elegans
Anticlea vaginata,Anticlea vaginata
Anticlea virescens,Anticlea virescens
Apera interrupta,Apera interrupta
Aphyllon fasciculatum,Aphyllon fasciculatum
Aphyllon uniflorum,Aphyllon purpureum
Apios americana,Apios americana
Apocynum ×floribundum,Apocynum x floribundum
Apocynum androsaemifolium,Apocynum androsaemifolium
Apocynum cannabinum,Apocynum cannabinum
Apocynum medium,Apocynum x floribundum
Apocynum x medium,Apocynum x floribundum
Aquilegia barnebyi,Aquilegia barnebyi
Aquilegia chrysantha,Aquilegia chrysantha
Aquilegia chrysantha var. rydbergii,Aquilegia chrysantha
Aquilegia coerulea,Aquilegia coerulea
Aquilegia coerulea var. coerulea,Aquilegia coerulea var. coerulea
Aquilegia coerulea var. ochroleuca,Aquilegia coerulea var. ochroleuca
Aquilegia elegantula,Aquilegia elegantula
Aquilegia micrantha,Aquilegia micrantha
Aquilegia saximontana,Aquilegia saximontana
Arabis hirsuta,Arabis pycnocarpa var. pycnocarpa
Arabis pycnocarpa,Arabis pycnocarpa var. pycnocarpa
Arabis pycnocarpa var. pycnocarpa,Arabis pycnocarpa var. pycnocarpa
Aralia nudicaulis,Aralia nudicaulis
Aralia racemosa,Aralia bicrenata
Aralia racemosa ssp. bicrenata,Aralia bicrenata
Arceuthobium americanum,Arceuthobium americanum
Arceuthobium cyanocarpum,Arceuthobium cyanocarpum
Arceuthobium divaricatum,Arceuthobium divaricatum
Arceuthobium douglasii,Arceuthobium douglasii
Arceuthobium vaginatum ssp. cryptopodum,Arceuthobium vaginatum ssp. cryptopodum
Arctium lappa,Arctium lappa
Arctium minus,Arctium minus
Arctium tomentosum,Arctium tomentosum
Arctostaphylos patula,Arctostaphylos patula
Arctostaphylos patula ssp. platyphylla,Arctostaphylos patula
Arctostaphylos uva-ursi,Arctostaphylos uva-ursi
Arenaria lanuginosa ssp. saxosa,Arenaria lanuginosa var. saxosa
Arenaria serpyllifolia,Arenaria serpyllifolia
Argemone corymbosa ssp. arenicola,Argemone corymbosa ssp. arenicola
Argemone hispida,Argemone hispida
Argemone polyanthemos,Argemone polyanthemos
Argemone squarrosa,Argemone squarrosa ssp. squarrosa
Argemone squarrosa ssp. squarrosa,Argemone squarrosa ssp. squarrosa
Argentina anserina,Argentina anserina
Argillochloa dasyclada,Festuca dasyclada
Argyrochosma fendleri,Argyrochosma fendleri
Argythamnia humilis,Ditaxis humilis
Argythamnia mercurialina,Ditaxis mercurialina
Arida parviflora,Leucosyris parviflora
Aristida adscensionis,Aristida adscensionis
Aristida basiramea,Aristida basiramea
Aristida dichotoma,Aristida dichotoma
Aristida divaricata,Aristida divaricata
Aristida havardii,Aristida havardii
Aristida oligantha,Aristida oligantha
Aristida purpurea,Aristida purpurea
Aristida purpurea var. fendleriana,Aristida purpurea var. fendleriana
Aristida purpurea var. longiseta,Aristida purpurea var. longiseta
Aristida purpurea var. nealleyi,Aristida purpurea var. nealleyi
Aristida purpurea var. purpurea,Aristida purpurea var. purpurea
Aristida purpurea var. wrightii,Aristida purpurea var. wrightii
Aristida wrightii,Aristida purpurea var. wrightii
Armeniaca vulgaris,Prunus armeniaca
Armeria maritima ssp. sibirica,Armeria maritima ssp. sibirica
Armeria scabra ssp. sibirica,Armeria maritima ssp. sibirica
Armoracia rusticana,Armoracia rusticana
Arnica alpina ssp. tomentosa,Arnica angustifolia ssp. tomentosa
Arnica angustifolia ssp. tomentosa,Arnica angustifolia ssp. tomentosa
Arnica chamissonis,Arnica chamissonis
Arnica chamissonis ssp. foliosa,Arnica chamissonis
Arnica cordifolia,Arnica cordifolia
Arnica fulgens,Arnica fulgens
Arnica gracilis,Arnica gracilis
Arnica latifolia,Arnica latifolia
Arnica longifolia,Arnica longifolia
Arnica mollis,Arnica mollis
Arnica parryi,Arnica parryi
Arnica rydbergii,Arnica rydbergii
Arrhenatherum elatius,Arrhenatherum elatius
Artemisia abrotanum,Artemisia abrotanum
Artemisia absinthium,Artemisia absinthium
Artemisia annua,Artemisia annua
Artemisia arbuscula,Artemisia arbuscula
Artemisia arbuscula ssp. arbuscula,Artemisia arbuscula ssp. arbuscula
Artemisia arbuscula ssp. longiloba,Artemisia arbuscula ssp. longiloba
Artemisia arctica,Artemisia arctica
Artemisia arctica ssp. saxicola,Artemisia arctica
Artemisia biennis,Artemisia biennis
Artemisia biennis var. biennis,Artemisia biennis
Artemisia bigelovii,Artemisia bigelovii
Artemisia campestris,Artemisia campestris
Artemisia campestris var. caudata,Artemisia campestris ssp. caudata
Artemisia campestris var. pacifica,Artemisia campestris ssp. pacifica
Artemisia campestris var. purshii,Artemisia campestris var. purshii
Artemisia cana,Artemisia cana
Artemisia cana ssp. cana,Artemisia cana ssp. cana
Artemisia cana ssp. viscidula,Artemisia cana ssp. viscidula
Artemisia carruthii,Artemisia carruthii
Artemisia dracunculus,Artemisia dracunculus
Artemisia filifolia,Artemisia filifolia
Artemisia franserioides,Artemisia franserioides
Artemisia frigida,Artemisia frigida
Artemisia laciniata ssp. parryi,Artemisia parryi
Artemisia longifolia,Artemisia longifolia
Artemisia ludoviciana,Artemisia ludoviciana
Artemisia ludoviciana ssp. albula,Artemisia ludoviciana ssp. albula
Artemisia ludoviciana ssp. incompta,Artemisia ludoviciana ssp. incompta
Artemisia ludoviciana ssp. ludoviciana,Artemisia ludoviciana ssp. ludoviciana
Artemisia ludoviciana ssp. mexicana,Artemisia ludoviciana ssp. mexicana
Artemisia ludoviciana var. albula,Artemisia ludoviciana ssp. albula
Artemisia ludoviciana var. incompta,Artemisia ludoviciana ssp. incompta
Artemisia ludoviciana var. ludoviciana,Artemisia ludoviciana ssp. ludoviciana
Artemisia ludoviciana var. mexicana,Artemisia ludoviciana ssp. mexicana
Artemisia michauxiana,Artemisia michauxiana
Artemisia nova,Artemisia nova
Artemisia parryi,Artemisia parryi
Artemisia pattersonii,Artemisia pattersonii
Artemisia pedatifida,Artemisia pedatifida
Artemisia pygmaea,Artemisia pygmaea
Artemisia scopulorum,Artemisia scopulorum
Artemisia spiciformis,Artemisia spiciformis
Artemisia spinescens,Artemisia spinescens
Artemisia tridentata,Artemisia tridentata
Artemisia tridentata var. tridentata,Artemisia tridentata ssp. tridentata
Artemisia tridentata var. vaseyana,Artemisia tridentata ssp. vaseyana
Artemisia tridentata var. wyomingensis,Artemisia tridentata ssp. wyomingensis
Artemisia tripartita var. tripartita,Artemisia tripartita ssp. tripartita
Asclepias arenaria,Asclepias arenaria
Asclepias asperula,Asclepias asperula ssp. asperula
Asclepias asperula ssp. asperula,Asclepias asperula ssp. asperula
Asclepias cryptoceras,Asclepias cryptoceras ssp. cryptoceras
Asclepias cryptoceras ssp. cryptoceras,Asclepias cryptoceras ssp. cryptoceras
Asclepias engelmanniana,Asclepias engelmanniana
Asclepias hallii,Asclepias hallii
Asclepias incarnata,Asclepias incarnata
Asclepias involucrata,Asclepias involucrata
Asclepias latifolia,Asclepias latifolia
Asclepias macrosperma,Asclepias macrosperma
Asclepias macrotis,Asclepias macrotis
